"competition","mf","level","match_id","date","home_team","visiting_team","match_n_sets","home_team_set_score","visiting_team_set_score","set_number","home_team_score","visiting_team_score","margin"
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764665",2019-10-05,"Missouri State","Drake",4,3,1,3,25,18,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764665",2019-10-05,"Missouri State","Drake",4,3,1,4,25,17,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764676",2019-10-05,"Sacred Heart","Robert Morris",4,1,3,1,18,25,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764676",2019-10-05,"Sacred Heart","Robert Morris",4,1,3,2,22,25,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764676",2019-10-05,"Sacred Heart","Robert Morris",4,1,3,3,28,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764676",2019-10-05,"Sacred Heart","Robert Morris",4,1,3,4,23,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764675",2019-10-05,"Oregon State","Stanford",3,0,3,1,12,25,13
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764675",2019-10-05,"Oregon State","Stanford",3,0,3,2,21,25,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764675",2019-10-05,"Oregon State","Stanford",3,0,3,3,25,27,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764673",2019-10-05,"Chattanooga","Western Caro.",3,0,3,1,21,25,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764673",2019-10-05,"Chattanooga","Western Caro.",3,0,3,2,21,25,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764673",2019-10-05,"Chattanooga","Western Caro.",3,0,3,3,20,25,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764680",2019-10-05,"Stetson","FGCU",4,1,3,1,18,25,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764680",2019-10-05,"Stetson","FGCU",4,1,3,2,14,25,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764680",2019-10-05,"Stetson","FGCU",4,1,3,3,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764680",2019-10-05,"Stetson","FGCU",4,1,3,4,13,25,12
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764677",2019-10-05,"Radford","Hampton",3,3,0,1,25,12,13
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764677",2019-10-05,"Radford","Hampton",3,3,0,2,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764677",2019-10-05,"Radford","Hampton",3,3,0,3,25,22,3
