"competition","mf","level","match_id","date","home_team","visiting_team","match_n_sets","home_team_set_score","visiting_team_set_score","set_number","home_team_score","visiting_team_score","margin"
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764378",2019-10-05,"Saint Mary's (CA)","BYU",3,0,3,1,12,25,13
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764378",2019-10-05,"Saint Mary's (CA)","BYU",3,0,3,2,22,25,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764378",2019-10-05,"Saint Mary's (CA)","BYU",3,0,3,3,27,29,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764388",2019-10-05,"Niagara","Rider",4,3,1,1,20,25,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764388",2019-10-05,"Niagara","Rider",4,3,1,2,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764388",2019-10-05,"Niagara","Rider",4,3,1,3,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764388",2019-10-05,"Niagara","Rider",4,3,1,4,25,10,15
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764392",2019-10-05,"Air Force","Colorado State",4,1,3,1,28,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764392",2019-10-05,"Air Force","Colorado State",4,1,3,2,8,25,17
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764392",2019-10-05,"Air Force","Colorado State",4,1,3,3,13,25,12
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764392",2019-10-05,"Air Force","Colorado State",4,1,3,4,21,25,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764391",2019-10-05,"Quinnipiac","Iona",4,3,1,1,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764391",2019-10-05,"Quinnipiac","Iona",4,3,1,2,25,16,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764391",2019-10-05,"Quinnipiac","Iona",4,3,1,3,15,25,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764391",2019-10-05,"Quinnipiac","Iona",4,3,1,4,25,19,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764477",2019-10-05,"Baylor","Kansas State",3,3,0,1,25,19,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764477",2019-10-05,"Baylor","Kansas State",3,3,0,2,25,15,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764477",2019-10-05,"Baylor","Kansas State",3,3,0,3,29,27,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764482",2019-10-05,"American","Bucknell",3,3,0,1,25,21,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764482",2019-10-05,"American","Bucknell",3,3,0,2,25,14,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764482",2019-10-05,"American","Bucknell",3,3,0,3,25,21,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764499",2019-10-05,"UNC Asheville","Gardner-Webb",3,3,0,1,25,14,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764499",2019-10-05,"UNC Asheville","Gardner-Webb",3,3,0,2,25,13,12
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764499",2019-10-05,"UNC Asheville","Gardner-Webb",3,3,0,3,25,16,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764484",2019-10-05,"Austin Peay","UT Martin",4,3,1,1,25,23,2
